id,name
19999,to
3589,OMD
26601,Prioneto Game
31177,Bandai Namco Games Daewon Media (South Korea)
50623,PCCW Japan
29843,Sleeping Panda Games
43218,DarkSun Game
12223,Over Fence
12170,Unicow Games AB
31168,Alando1
36176,NovaStar
37843,Outside the Fox
38168,KQ Entertainment
10856,Perkings Engineering
12249,Sameer Hirezi
2250,Nunchuck Games
49566,Lasengle
29936,Bandai Namco Entertainment America Inc.
49829,1339
5152,Bithell Games
22731,Thomas Werth
25419,Aya
48926,Caio Ribeiro Chagas
18880,RMAL
84,CTO SpA
4418,Gun.
19519,Lion Confectionary
25618,Vpiro
9727,Softdisk
25432,Gareth Ffoulkes
28792,Imperfect Pixel
28972,Ruben Alcañiz
25324,DVA
25400,RaphSfeir
4228,ZeroDiv
25412,Roman Glebenkov
48927,Martelo Nero
34175,Sonic 2 HD Team
25307,"Zinou Pharmaceutics, Inc."
25430,Squeemish
25424,Vittorio Romeo
5251,InsGames
12610,D2C Games
50620,Jaleco USA
49420,XryEcho
2251,Hydravision Entertainment
25297,"Chiptune, Inc."
16386,(Archive) DUPLICATEDeck13
4191,O-TWO Inc.
25310,"SuperSweep co., ltd."
9936,Polykid
3654,Bug-Tracker Laboratories Inc.
13019,Topsliked
4779,Panzer Gaming Studios
8058,Joakim Sandberg
28506,Voolgi
3806,Triple A Testing
25624,Sonikku
24602,Sticky Toffee Games
25544,SEGA HARDlight
31815,IceSitruuna
30827,Mattel163 Limited
35990,Steem Monsters Corp
43217,MeowNature
19509,Tokyo News Service
25433,Kayin
33563,Vankrupt Games
23667,MrTedders
695,Auran Games
3805,Sprachlabor Audioproduktionen GmbH
14688,Head Gear
19114,"Amazon Game Studios, Orange County"
45166,Gadget Gaming
31176,LION HEART
32843,Full Control Studios
3858,Independent Studio Services
25469,rodolfodth
12289,Mediaobsters
18119,Locus Ludus
12690,Courbois Software
12558,Humble Sage Games
4170,FilmOasis Inc.
25461,anthonyme00
25473,Tapteek
6321,The Tiniest Shark
12717,wittyGamerz
14760,I-Inferno
14758,Working As Intended
32765,Go4
27538,Studio Nevermore
19115,Foundry 42 Ltd
12697,Paradise Software
2165,Enterbrain
29978,Daniel Janák
23536,Hubert Dzikuć
13552,"Fair Weather Studios, LLC"
40166,Prestige Softwareentwicklung
4077,Software Project
7329,BLT & Associates
43219,Gamera Game
18135,橙光游戏
47164,Symbolic Software
25608,Slight Super Powers
14736,Team DYO
39243,P4L
16921,True Illusion Software
28612,Big Heart Productions
12691,Alpha-Omega Software
12720,AreddaCo
29827,A Maze
43774,PlayStation Studios Visual Arts
19845,TwoPointZero
17933,Byngames
13556,Fully Illustrated
12710,Dragoon Domain
12718,Gambarion
13391,The Electric Ballhau
20008,Wobblyware
5394,Water Orion
5976,Prism Leisure Corporation Plc
5438,Pyramid Studios
3744,Star City Designs
3743,MD Assets
22799,Dieter Marfurt
3884,Daybreak CG
32520,LGS Games Productions
34506,Black Widow Backe
20858,Mariano Bucci
17229,NTL
34390,A13
18118,Eteru Studio
11863,Machines in Motion
32815,Omega Productions
39803,Mercure
28802,Risky Lab
4874,Savalas Studios
12882,Greens s.r.o.
3941,Scillex
30984,Crazy Labs by TabTale
3943,Ubisoft South Korea
4283,Avanquest
49567,Shikudo
5178,The Foundry
5162,Polestar
13029,AMG Games
14620,"entalize co., ltd."
37623,Polycrow
12702,BurningFlower
12705,Swizzle llc
14734,7levels
43775,Flying Jack Productions
3942,entalize
12748,Brainwave Creations
3940,U-TRAX
46067,OneManOnly Studios
7029,93 Games Studio
5312,Sparpweed Games
33415,7th Road
19979,Mujo Games
30802,Consumer Softproducts
49568,XSGames
5199,SleepTeam
45411,Pedro Lima's Productions
4192,NAC Inc.
12711,NomaGames
30623,Traveler Project
12378,Studio Beast
1374,Acornsoft
38415,AI Funk
32044,JO Dev
22641,CyOEntertainment
41392,Tampered Evidence LLC
40424,Firehazard Studio
5171,Neostream
5117,Hodder & Stoughton
22501,Mike Karman
35675,"Sammy Networks Co., Ltd."
43221,Flt Studio
14771,NMC Studios
12683,Darril Arts
49832,LMPuny
2071,Ariolasoft
16207,C.P.M. Chapman
5685,Comgad
13569,Free Spirit Software Inc.
14271,Stabbarey
12879,gamesonlinecorner
24731,AlyStudio
12873,Act 3 Games
32538,Teddy Toussaint
29487,Laika Animation Studio
46416,felix lecocq
38520,Titan Arrow Games
49569,RexxNorilsk
43777,Cinnamon Matcha
16210,Offworld Games
46415,Pixxel Studios
24908,上海游七网络科技有限公司
17055,Phenomenon Games
47416,Huy Le
47418,Kazuhide Oka
43222,PVGames
18452,"Shanghai YiXing Network Technology Co.,Ltd"
38601,Marco Noordergraaf
24930,Catpad
44041,Dark Entertainment
13079,"Miles Computing, Inc."
18139,风暴工作室
7429,(Archive) PopTop - duplicate
22747,EquiDev
24910,jota-gil
16961,vt
24949,Renaissance
