id,category,description
738,4,Blood and Gore
625,4,Blood and Gore
747,7,Crude Humor
672,32,Mild Language
753,32,Mild Language
750,29,Violence
708,21,Strong Language
688,10,Intense Violence
691,11,Language
676,10,Intense Violence
653,29,Violence
633,10,Intense Violence
1962,29,Violence
2962,29,Violence
5962,53,Fear
960,7,Crude Humor
1960,21,Strong Language
955,9,Fantasy Violence
962,37,Mild Cartoon Violence
1957,3,Blood
1951,38,Mild Blood
4962,21,Strong Language
3962,26,Use of Alcohol
956,11,Language
2961,4,Blood and Gore
951,31,Animated Violence
3951,8,Drug Reference
2952,6,Comic Mischief
3953,32,Mild Language
4957,24,Suggestive Themes
2951,33,Mild Violence
7962,55,Bad Language
1958,10,Intense Violence
958,6,Comic Mischief
5961,50,Violence
1959,17,Sexual Content
3952,29,Violence
959,5,Cartoon Violence
3955,5,Cartoon Violence
5955,31,Animated Violence
7951,50,Violence
5951,54,Discrimination
10960,50,Violence
6960,50,Violence
2957,21,Strong Language
10951,29,Violence
4952,4,Blood and Gore
8951,17,Sexual Content
1954,17,Sexual Content
4958,28,Use of Tobacco
5959,44,Mild Sexual Themes
3958,36,Mild Suggestive Themes
6955,18,Sexual Themes
2958,24,Suggestive Themes
3959,3,Blood
7959,11,Language
5956,33,Mild Violence
6962,29,Violence
9962,5,Cartoon Violence
952,31,Animated Violence
954,3,Blood
12962,55,Bad Language
825,29,Violence
821,15,Partial Nudity
824,26,Use of Alcohol
820,3,Blood
818,21,Strong Language
815,21,Strong Language
816,9,Fantasy Violence
814,13,Mature Humor
803,24,Suggestive Themes
804,33,Mild Violence
806,5,Cartoon Violence
810,29,Violence
805,9,Fantasy Violence
809,21,Strong Language
807,4,Blood and Gore
801,13,Mature Humor
798,33,Mild Violence
795,2,Animated Blood
796,29,Violence
794,29,Violence
793,18,Sexual Themes
792,11,Language
790,27,Use of Drugs
791,3,Blood
