,game,reviewer_rating,positivity_ratio,first_release_date,game_modes,genres,themes,binned_developer,developer_RewindApp,developer_Ripknot Systems,developer_CAPCOM Co. Ltd.,developer_Kairosoft Co.Ltd,developer_Winged Cloud,developer_KOEI TECMO GAMES CO. LTD.,developer_Choice of Games,developer_EGAMER,developer_Scott Cawthon,developer_Tero Lunkka,binned_developer_encoded
5875,Dracula 2: The Last Sanctuary,4.0,0.43,2000,1,2,19,Microids,0,0,0,0,0,0,0,0,0,0,233
5876,A Castle Full of Cats,9.0,155.08,2022,1,2,35,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5877,Dead Hungry Diner,6.0,2.84,2012,1,9,28,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5878,Horror Legends,8.0,7.85,2021,2,32,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5879,Flesh Eating Geriatric Internet Predator,5.0,0.69,2021,4,31,19,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5880,Onechanbara Z2: Chaos,6.0,3.52,2014,1,25,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5881,Golden Krone Hotel,8.0,20.46,2016,1,12,19,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5882,BloodLust Shadowhunter,6.0,3.74,2015,1,12,1,WRF Studios,0,0,0,0,0,0,0,0,0,0,402
5883,House of Ghosts,5.0,0.83,2022,1,31,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5884,Slayer Shock,5.0,1.38,2016,1,5,1,Minor Key Games,0,0,0,0,0,0,0,0,0,0,240
5885,Devoid of Shadows,5.0,1.55,2017,1,12,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5886,Dark Tower,6.0,2.33,2017,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5887,Dark Tower,6.0,2.33,1984,1,8,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5888,Clash of Puppets,5.0,1.83,2014,1,8,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5889,Epic Loon,7.0,8.0,2018,1,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5890,Lost City of Vampires,6.0,3.0,2019,1,32,1,WRF Studios,0,0,0,0,0,0,0,0,0,0,402
5891,Hotel Transylvania 3: Monsters Overboard,5.0,1.43,2018,1,8,1,Torus Games,0,0,0,0,0,0,0,0,0,0,384
5892,The Dark World: Edge of Eternity,6.0,2.22,2021,1,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5893,Vampires: Guide Them to Safety!,7.0,3.7,2012,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5894,First Bite,8.0,5.67,2021,1,32,44,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5895,BloodLust 2: Nemesis,6.0,3.42,2020,1,12,1,WRF Studios,0,0,0,0,0,0,0,0,0,0,402
5896,Vampirem,8.0,7.0,2021,1,12,1,WRF Studios,0,0,0,0,0,0,0,0,0,0,402
5897,Eternal Evil,6.0,3.8,2022,1,31,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5898,Gun Brothers,4.0,0.58,2016,1,31,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5899,Dracula: Vampires vs. Zombies,7.0,8.67,2017,1,32,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5900,Dead of Night,7.0,3.33,2017,1,31,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5901,Dead of Night,7.0,3.33,0,1,8,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5902,Crimson Spires,8.0,8.71,2020,1,31,17,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5903,Cute Bite,8.0,7.8,2021,1,12,17,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5904,Nightfall Comes,7.0,16.0,2022,1,32,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5905,Vampire Slayer: The Resurrection,6.0,2.4,2023,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5906,Massive,5.0,2.09,2016,1,31,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5907,Undead Souls,3.0,0.09,2017,1,32,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5908,Immortal Darkness: Curse of The Pale King,7.0,5.0,2019,1,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5909,Romancelvania,6.0,3.17,2023,1,8,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5910,Shadow Warrior,8.0,12.06,1997,1,4,1,Flying Wild Hog,0,0,0,0,0,0,0,0,0,0,132
5911,Shadow Warrior,8.0,12.06,2013,1,5,1,Flying Wild Hog,0,0,0,0,0,0,0,0,0,0,132
5912,Rise of the Triad,5.0,1.95,2013,1,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5913,Kao the Kangaroo,8.0,4.9,2001,1,8,1,Tate Multimedia,0,0,0,0,0,0,0,0,0,0,373
5914,Kao the Kangaroo,8.0,4.9,2000,1,8,1,Tate Multimedia,0,0,0,0,0,0,0,0,0,0,373
5915,Kao the Kangaroo,8.0,4.9,2022,1,8,1,Tate Multimedia,0,0,0,0,0,0,0,0,0,0,373
5916,PowerWash Simulator,9.0,39.97,2021,1,13,28,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5917,Snake Pass,6.0,3.8,2017,1,8,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5918,Potionomics,8.0,8.39,2022,1,13,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5919,Re:Legend,5.0,1.42,2019,1,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5920,Omno,8.0,12.68,2021,1,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5921,Summer in Mara,6.0,3.17,2020,1,12,33,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5922,Lake,8.0,6.47,2021,1,12,27,Gamious,0,0,0,0,0,0,0,0,0,0,155
5923,Wobbledogs,9.0,54.39,2021,1,13,27,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5924,Grow: Song of the Evertree,8.0,5.16,2021,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5925,Alba: A Wildlife Adventure,9.0,45.66,2020,1,31,34,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5926,Winkeltje: The Little Shop,8.0,9.71,2019,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5927,A Building Full of Cats,9.0,103.08,2022,1,2,35,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5928,Lil Gator Game,9.0,143.88,2022,1,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5929,A Juggler's Tale,8.0,16.48,2021,1,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5930,Haven Park,9.0,24.12,2021,1,8,38,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5931,Terroir,6.0,2.86,2017,1,13,34,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5932,Witchy Life Story,8.0,5.78,2022,1,13,27,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5933,Please Be Happy,8.0,61.0,2022,1,13,17,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5934,Doors: Paradox,8.0,13.21,2022,1,2,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5935,The Block,6.0,2.39,2022,1,32,22,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5936,An Airport for Aliens Currently Run by Dogs,8.0,8.37,2021,1,9,27,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5937,Very Very Valet,7.0,35.0,2021,1,10,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5938,New Super Lucky's Tale,8.0,19.13,2019,1,8,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5939,Button City,8.0,22.6,2021,1,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5940,The Awakening of Mummies,7.0,8.33,2021,1,9,17,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5941,7 Years From Now,8.0,65.0,2017,1,12,31,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5942,The Companion,8.0,3.81,2021,1,7,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5943,Ikonei Island: An Earthlock Adventure,8.0,12.4,2022,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5944,Wayward Strand,8.0,12.8,2022,1,12,22,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5945,Howloween Hero,7.0,11.33,2021,1,9,27,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5946,A Story About My Uncle,8.0,11.23,2014,1,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5947,Stories: The Path of Destinies,8.0,7.54,2016,1,12,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5948,Baldur's Gate 3,8.0,7.28,2020,1,12,1,Larian Studios,0,0,0,0,0,0,0,0,0,0,206
5949,The Stanley Parable,8.0,12.19,2013,1,31,27,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5950,The Stanley Parable,8.0,12.19,2011,1,32,27,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5951,Detroit: Become Human,8.0,16.41,2018,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5952,Superliminal,8.0,17.91,2019,1,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5953,Alan Wake,8.0,9.95,2010,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5954,Amnesia: A Machine for Pigs,5.0,2.26,2013,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5955,Pathfinder: Wrath of the Righteous - Enhanced Edition,8.0,5.51,2021,1,12,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5956,Metal: Hellsinger,9.0,34.37,2022,1,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5957,What Remains of Edith Finch,9.0,21.8,2017,1,9,19,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5958,Beyond: Two Souls,8.0,7.89,2013,1,31,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5959,Heavy Rain,8.0,4.81,2010,1,31,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5960,The Stanley Parable: Ultra Deluxe,8.0,16.11,2022,1,13,27,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5961,Gone Home,6.0,3.31,2013,1,2,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5962,The Beginner's Guide,8.0,6.95,2015,1,31,27,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5963,Maneater,8.0,8.53,2020,1,12,1,Tripwire Interactive,0,0,0,0,0,0,0,0,0,0,386
5964,The Walking Dead: The Telltale Definitive Series,9.0,24.47,2019,1,2,19,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5965,The Last Campfire,9.0,43.72,2020,1,9,17,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5966,When the Darkness comes,8.0,12.08,2019,1,31,19,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5967,Dear Esther: Landmark Edition,6.0,2.87,2016,1,31,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5968,Observer: System Redux,8.0,7.05,2020,1,31,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5969,Ghost of a Tale,8.0,11.9,2018,1,9,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5970,A Plague Tale: Requiem,8.0,11.41,2022,1,12,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5971,The Painscreek Killings,8.0,10.02,2017,1,9,31,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5972,Sanitarium,8.0,16.34,1998,1,2,19,Dotemu,0,0,0,0,0,0,0,0,0,0,105
5973,Call of the Sea,8.0,8.4,2020,1,9,22,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5974,The First Tree,6.0,3.14,2017,1,8,35,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5975,Event[0],8.0,4.01,2016,1,9,18,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5976,Kona,8.0,4.81,2017,1,9,21,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5977,Bugsnax,9.0,44.27,2020,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5978,Bugsnax,9.0,44.27,2023,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5979,The Sinking City,6.0,2.64,2019,1,5,1,Frogwares,0,0,0,0,0,0,0,0,0,0,139
5980,Nikopol: Secrets of the Immortals,5.0,1.19,2008,1,2,18,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5981,Trek to Yomi,6.0,2.51,2022,1,25,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5982,The Night Fisherman,8.0,5.11,2020,1,31,31,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5983,Golfing Over It with Alva Majo,6.0,2.74,2018,1,8,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5984,Martha Is Dead,8.0,4.2,2022,1,12,19,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5985,Curious Cases,6.0,2.79,2019,1,9,19,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5986,The Dark Pictures Anthology: The Devil in Me,5.0,1.21,2022,1,31,19,Supermassive Games,0,0,0,0,0,0,0,0,0,0,368
5987,Shadows: Awakening,6.0,3.1,2018,1,12,1,Games Farm,0,0,0,0,0,0,0,0,0,0,154
5988,The Search,6.0,2.78,2017,1,2,43,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5989,Raji: An Ancient Epic,8.0,5.03,2020,1,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5990,A.D. 2047,6.0,2.94,2021,1,31,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5991,Burn Me Twice,8.0,4.9,2020,1,31,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
5992,Siege of Centauri,5.0,1.85,2019,1,15,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5993,Lucifer Within Us,8.0,3.96,2020,1,2,31,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5994,A Normal Lost Phone,8.0,7.67,2017,1,9,43,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5995,Blade of Darkness,8.0,14.74,0,1,12,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5996,Blade of Darkness,8.0,14.74,2022,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5997,Blade of Darkness,8.0,14.74,2021,1,4,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5998,Blade of Darkness,8.0,14.74,0,1,12,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
5999,Blade of Darkness,8.0,14.74,2022,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6000,Blade of Darkness,8.0,14.74,2021,1,4,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6001,Beacon Pines,9.0,51.48,2022,1,31,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6002,Arise: A Simple Story,8.0,12.36,2019,1,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6003,The Town of Light,6.0,3.82,2016,1,31,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6004,Where the Water Tastes Like Wine,6.0,3.64,2018,1,9,22,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6005,Snowdome,8.0,12.39,2020,1,34,31,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6006,Bee Simulator,6.0,2.43,2019,1,13,34,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6007,Sleep Paralysis: The Uncanny Valley,7.0,3.4,2022,1,31,19,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6008,Pembrey,5.0,1.39,2017,1,12,1,CrackedGhostGames,0,0,0,0,0,0,0,0,0,0,76
6009,Strangeland,8.0,16.08,2021,1,2,19,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6010,Riddle Joker,9.0,86.24,2018,1,31,27,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6011,Stories of Liane,6.0,3.13,2021,1,9,18,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6012,Desolatium: Prologue,8.0,4.73,2021,1,2,43,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6013,Kore,8.0,4.42,2021,1,31,23,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6014,Jiangshi x Daoshi,8.0,12.58,2020,1,31,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6015,Love is Dead,5.0,1.66,2018,1,9,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6016,War Mongrels,6.0,2.42,2021,1,15,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6017,Tested on Humans: Escape Room,8.0,7.27,2021,1,2,43,mc2games,0,0,0,0,0,0,0,0,0,0,435
6018,YIIK: A Postmodern RPG,5.0,2.15,2019,1,12,17,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6019,Interkosmos 2000,6.0,3.0,2022,1,13,18,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6020,Nirvana Pilot Yume,6.0,3.46,2017,1,7,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6021,The Last Worker,6.0,3.09,2023,1,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6022,Agarta,6.0,2.93,2021,1,31,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6023,The Mammoth: A Cave Painting,8.0,10.63,2017,1,31,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6024,Silver Chains,6.0,2.68,2019,1,31,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6025,Dinner Date,5.0,1.2,2010,1,9,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6026,Bright Lights of Svetlov,8.0,14.42,2021,1,2,22,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6027,Hazel Sky,6.0,3.33,2022,1,8,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6028,The Grandfather,5.0,1.19,2016,1,2,19,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6029,The Eternal Cylinder,8.0,6.16,2021,1,31,1,ACE Team,0,0,0,0,0,0,0,0,0,0,8
6030,Alan Sharp,6.0,3.31,2021,1,9,19,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6031,Alien Function,7.0,5.0,2021,1,31,18,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6032,V696,5.0,1.77,2022,1,31,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6033,Eight,5.0,1.36,2022,1,12,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6034,The Shore VR,5.0,0.7,2022,1,31,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6035,Strategic Mind: Blitzkrieg,8.0,5.76,2020,1,13,22,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6036,Seed of Life,6.0,2.3,2021,1,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6037,Class Escape,7.0,24.0,2022,1,9,20,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6038,Ikai,8.0,3.93,2022,1,9,19,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6039,Corrupted,5.0,0.72,2018,1,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6040,Corrupted,5.0,0.72,2018,1,12,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6041,Rough Justice: '84,8.0,6.67,2023,1,9,43,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6042,Cybernetic Fault,6.0,2.68,2020,1,13,1,Whale Rock Games,0,0,0,0,0,0,0,0,0,0,408
6043,Cobra Kai: The Karate Kid Saga Continues,8.0,4.86,2020,1,4,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6044,Twin Mirror,6.0,3.23,2020,1,31,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6045,Protocol,6.0,2.58,2018,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6046,Protocol,6.0,2.58,2015,2,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6047,On Rusty Trails,8.0,8.6,2016,1,8,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6048,Alt-Frequencies,8.0,5.86,2019,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6049,DreamBack VR,7.0,3.33,2020,1,31,19,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6050,Ashley: The Emptiness Inside,7.0,2.67,2020,1,9,19,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6051,Loretta,8.0,11.93,2023,1,2,20,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6052,The Fan,5.0,1.71,2017,1,31,19,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6053,Titan Chaser,8.0,4.95,2020,1,10,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6054,Sanator: Scarlet Scarf,8.0,9.7,2019,1,31,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6055,Stirring Abyss,8.0,7.97,2020,1,12,19,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6056,A Case of the Crabs: Rehash,8.0,27.5,2020,1,2,31,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6057,Swarm Universe,7.0,6.0,2017,1,32,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6058,Horse Riding Deluxe,6.0,2.23,2019,1,10,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6059,No Time,9.0,32.65,2019,1,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6060,Until Lights Out,4.0,0.36,2022,1,31,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6061,Silence Channel,6.0,3.61,2021,1,5,19,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6062,South of the Circle,8.0,5.54,2020,1,2,31,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6063,Another Lost Phone: Laura's Story,8.0,10.29,2017,1,9,20,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6064,Bleeding Moons,7.0,6.5,2020,1,12,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6065,Aquadine,7.0,9.0,2021,1,13,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6066,Rainy Season,8.0,18.22,2020,1,13,43,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6067,Summertime Madness,6.0,3.15,2021,1,9,35,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6068,Nayati River,5.0,2.16,2021,1,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6069,Gloomy Eyes,8.0,8.06,2020,1,31,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6070,Dread X Collection 3,8.0,11.21,2020,1,31,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6071,A Night Before the Deadline,7.0,3.25,2021,1,31,20,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6072,Escape From BioStation,5.0,2.0,2017,1,31,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6073,Conway: Disappearance at Dahlia View,8.0,6.28,2021,1,9,20,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6074,The Backroom Project,6.0,2.8,2022,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6075,Moss: Book II,8.0,88.0,2022,1,8,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6076,Survive Till Morning,7.0,7.0,2022,1,9,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6077,Flat Earth Simulator,5.0,2.1,2020,1,13,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6078,Evie,5.0,0.81,2018,1,31,19,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6079,Bistro Days,7.0,20.0,2022,1,31,27,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6080,N.E.R.O.: Nothing Ever Remains Obscure,5.0,1.97,2015,1,9,17,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6081,Cafe Deux Femmes,6.0,2.14,2020,1,13,42,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6082,Palindrome Syndrome: Escape Room,8.0,4.77,2020,1,2,18,mc2games,0,0,0,0,0,0,0,0,0,0,435
6083,My Name is Mayo 2,8.0,29.7,2020,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6084,Hubris,6.0,3.01,2022,1,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6085,The Barbarian and the Subterranean Caves,6.0,3.33,2017,1,31,42,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6086,S.W.A.N.: Chernobyl Unexplored,6.0,2.35,2021,1,9,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6087,Pneuma: Breath of Life,5.0,2.27,2015,1,9,43,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6088,Drizzlepath: Deja Vu,6.0,3.83,2018,1,13,43,Tonguç Bodur,0,0,0,0,0,0,0,0,0,0,383
6089,11th Dream,6.0,2.5,2019,1,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6090,Biolum,6.0,3.5,2021,1,31,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6091,Insomnis,8.0,11.29,2021,1,9,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6092,Discouraged Workers,5.0,1.64,2015,1,31,42,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6093,Yrminsul,5.0,1.53,2016,1,15,17,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6094,The Nightmare,5.0,1.14,1982,1,12,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6095,DEDstress,7.0,6.5,2020,1,32,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6096,Brukel,8.0,7.36,2019,1,13,34,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6097,Mental Hospital VR,6.0,2.56,2019,1,32,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6098,Five Nations,8.0,5.52,2021,1,11,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6099,Devil Inside Us: Roots of Evil,8.0,57.0,2021,1,31,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6100,The Collector,5.0,1.14,2021,1,9,19,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6101,Parapsychology,5.0,1.0,2022,1,31,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6102,Epic Tavern,5.0,1.71,2017,1,12,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6103,Across the Grooves,8.0,11.88,2020,1,31,17,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
6104,Sogo Vego,5.0,1.13,2020,1,31,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6105,Promesa,8.0,5.55,2020,1,13,43,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
6106,The Plague Doctor of Wippra,8.0,15.27,2022,1,2,22,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
